PassengerID,LivingStatus,TicketClass,Sex
1,Died,3,male
2,Survived,1,female
3,Survived,3,female
4,Survived,1,female
5,Died,3,male
6,Died,3,male
7,Died,1,male
8,Died,3,male
9,Survived,3,female
10,Survived,2,female
11,Survived,3,female
12,Survived,1,female
13,Died,3,male
14,Died,3,male
15,Died,3,female
16,Survived,2,female
17,Died,3,male
18,Survived,2,male
19,Died,3,female
20,Survived,3,female
21,Died,2,male
22,Survived,2,male
23,Survived,3,female
24,Survived,1,male
25,Died,3,female
26,Survived,3,female
27,Died,3,male
28,Died,1,male
29,Survived,3,female
30,Died,3,male
31,Died,1,male
32,Survived,1,female
33,Survived,3,female
34,Died,2,male
35,Died,1,male
36,Died,1,male
37,Survived,3,male
38,Died,3,male
39,Died,3,female
40,Survived,3,female
41,Died,3,female
42,Died,2,female
43,Died,3,male
44,Survived,2,female
45,Survived,3,female
46,Died,3,male
47,Died,3,male
48,Survived,3,female
49,Died,3,male
50,Died,3,female
51,Died,3,male
52,Died,3,male
53,Survived,1,female
54,Survived,2,female
55,Died,1,male
56,Survived,1,male
57,Survived,2,female
58,Died,3,male
59,Survived,2,female
60,Died,3,male
61,Died,3,male
62,Survived,1,female
63,Died,1,male
64,Died,3,male
65,Died,1,male
66,Survived,3,male
67,Survived,2,female
68,Died,3,male
69,Survived,3,female
70,Died,3,male
71,Died,2,male
72,Died,3,female
73,Died,2,male
74,Died,3,male
75,Survived,3,male
76,Died,3,male
77,Died,3,male
78,Died,3,male
79,Survived,2,male
80,Survived,3,female
81,Died,3,male
82,Survived,3,male
83,Survived,3,female
84,Died,1,male
85,Survived,2,female
86,Survived,3,female
87,Died,3,male
88,Died,3,male
89,Survived,1,female
90,Died,3,male
91,Died,3,male
92,Died,3,male
93,Died,1,male
94,Died,3,male
95,Died,3,male
96,Died,3,male
97,Died,1,male
98,Survived,1,male
99,Survived,2,female
100,Died,2,male
101,Died,3,female
102,Died,3,male
103,Died,1,male
104,Died,3,male
105,Died,3,male
106,Died,3,male
107,Survived,3,female
108,Survived,3,male
109,Died,3,male
110,Survived,3,female
111,Died,1,male
112,Died,3,female
113,Died,3,male
114,Died,3,female
115,Died,3,female
116,Died,3,male
117,Died,3,male
118,Died,2,male
119,Died,1,male
120,Died,3,female
121,Died,2,male
122,Died,3,male
123,Died,2,male
124,Survived,2,female
125,Died,1,male
126,Survived,3,male
127,Died,3,male
128,Survived,3,male
129,Survived,3,female
130,Died,3,male
131,Died,3,male
132,Died,3,male
133,Died,3,female
134,Survived,2,female
135,Died,2,male
136,Died,2,male
137,Survived,1,female
138,Died,1,male
139,Died,3,male
140,Died,1,male
141,Died,3,female
142,Survived,3,female
143,Survived,3,female
144,Died,3,male
145,Died,2,male
146,Died,2,male
147,Survived,3,male
148,Died,3,female
149,Died,2,male
150,Died,2,male
151,Died,2,male
152,Survived,1,female
153,Died,3,male
154,Died,3,male
155,Died,3,male
156,Died,1,male
157,Survived,3,female
158,Died,3,male
159,Died,3,male
160,Died,3,male
161,Died,3,male
162,Survived,2,female
163,Died,3,male
164,Died,3,male
165,Died,3,male
166,Survived,3,male
167,Survived,1,female
168,Died,3,female
169,Died,1,male
170,Died,3,male
171,Died,1,male
172,Died,3,male
173,Survived,3,female
174,Died,3,male
175,Died,1,male
176,Died,3,male
177,Died,3,male
178,Died,1,female
179,Died,2,male
180,Died,3,male
181,Died,3,female
182,Died,2,male
183,Died,3,male
184,Survived,2,male
185,Survived,3,female
186,Died,1,male
187,Survived,3,female
188,Survived,1,male
189,Died,3,male
190,Died,3,male
191,Survived,2,female
192,Died,2,male
193,Survived,3,female
194,Survived,2,male
195,Survived,1,female
196,Survived,1,female
197,Died,3,male
198,Died,3,male
199,Survived,3,female
200,Died,2,female
201,Died,3,male
202,Died,3,male
203,Died,3,male
204,Died,3,male
205,Survived,3,male
206,Died,3,female
207,Died,3,male
208,Survived,3,male
209,Survived,3,female
210,Survived,1,male
211,Died,3,male
212,Survived,2,female
213,Died,3,male
214,Died,2,male
215,Died,3,male
216,Survived,1,female
217,Survived,3,female
218,Died,2,male
219,Survived,1,female
220,Died,2,male
221,Survived,3,male
222,Died,2,male
223,Died,3,male
224,Died,3,male
225,Survived,1,male
226,Died,3,male
227,Survived,2,male
228,Died,3,male
229,Died,2,male
230,Died,3,female
231,Survived,1,female
232,Died,3,male
233,Died,2,male
234,Survived,3,female
235,Died,2,male
236,Died,3,female
237,Died,2,male
238,Survived,2,female
239,Died,2,male
240,Died,2,male
241,Died,3,female
242,Survived,3,female
243,Died,2,male
244,Died,3,male
245,Died,3,male
246,Died,1,male
247,Died,3,female
248,Survived,2,female
249,Survived,1,male
250,Died,2,male
251,Died,3,male
252,Died,3,female
253,Died,1,male
254,Died,3,male
255,Died,3,female
256,Survived,3,female
257,Survived,1,female
258,Survived,1,female
259,Survived,1,female
260,Survived,2,female
261,Died,3,male
262,Survived,3,male
263,Died,1,male
264,Died,1,male
265,Died,3,female
266,Died,2,male
267,Died,3,male
268,Survived,3,male
269,Survived,1,female
270,Survived,1,female
271,Died,1,male
272,Survived,3,male
273,Survived,2,female
274,Died,1,male
275,Survived,3,female
276,Survived,1,female
277,Died,3,female
278,Died,2,male
279,Died,3,male
280,Survived,3,female
281,Died,3,male
282,Died,3,male
283,Died,3,male
284,Survived,3,male
285,Died,1,male
286,Died,3,male
287,Survived,3,male
288,Died,3,male
289,Survived,2,male
290,Survived,3,female
291,Survived,1,female
292,Survived,1,female
293,Died,2,male
294,Died,3,female
295,Died,3,male
296,Died,1,male
297,Died,3,male
298,Died,1,female
299,Survived,1,male
300,Survived,1,female
301,Survived,3,female
302,Survived,3,male
303,Died,3,male
304,Survived,2,female
305,Died,3,male
306,Survived,1,male
307,Survived,1,female
308,Survived,1,female
309,Died,2,male
310,Survived,1,female
311,Survived,1,female
312,Survived,1,female
313,Died,2,female
314,Died,3,male
315,Died,2,male
316,Survived,3,female
317,Survived,2,female
318,Died,2,male
319,Survived,1,female
320,Survived,1,female
321,Died,3,male
322,Died,3,male
323,Survived,2,female
324,Survived,2,female
325,Died,3,male
326,Survived,1,female
327,Died,3,male
328,Survived,2,female
329,Survived,3,female
330,Survived,1,female
331,Survived,3,female
332,Died,1,male
333,Died,1,male
334,Died,3,male
335,Survived,1,female
336,Died,3,male
337,Died,1,male
338,Survived,1,female
339,Survived,3,male
340,Died,1,male
341,Survived,2,male
342,Survived,1,female
343,Died,2,male
344,Died,2,male
345,Died,2,male
346,Survived,2,female
347,Survived,2,female
348,Survived,3,female
349,Survived,3,male
350,Died,3,male
351,Died,3,male
352,Died,1,male
353,Died,3,male
354,Died,3,male
355,Died,3,male
356,Died,3,male
357,Survived,1,female
358,Died,2,female
359,Survived,3,female
360,Survived,3,female
361,Died,3,male
362,Died,2,male
363,Died,3,female
364,Died,3,male
365,Died,3,male
366,Died,3,male
367,Survived,1,female
368,Survived,3,female
369,Survived,3,female
370,Survived,1,female
371,Survived,1,male
372,Died,3,male
373,Died,3,male
374,Died,1,male
375,Died,3,female
376,Survived,1,female
377,Survived,3,female
378,Died,1,male
379,Died,3,male
380,Died,3,male
381,Survived,1,female
382,Survived,3,female
383,Died,3,male
384,Survived,1,female
385,Died,3,male
386,Died,2,male
387,Died,3,male
388,Survived,2,female
389,Died,3,male
390,Survived,2,female
391,Survived,1,male
392,Survived,3,male
393,Died,3,male
394,Survived,1,female
395,Survived,3,female
396,Died,3,male
397,Died,3,female
398,Died,2,male
399,Died,2,male
400,Survived,2,female
401,Survived,3,male
402,Died,3,male
403,Died,3,female
404,Died,3,male
405,Died,3,female
406,Died,2,male
407,Died,3,male
408,Survived,2,male
409,Died,3,male
410,Died,3,female
411,Died,3,male
412,Died,3,male
413,Survived,1,female
414,Died,2,male
415,Survived,3,male
416,Died,3,female
417,Survived,2,female
418,Survived,2,female
419,Died,2,male
420,Died,3,female
421,Died,3,male
422,Died,3,male
423,Died,3,male
424,Died,3,female
425,Died,3,male
426,Died,3,male
427,Survived,2,female
428,Survived,2,female
429,Died,3,male
430,Survived,3,male
431,Survived,1,male
432,Survived,3,female
433,Survived,2,female
434,Died,3,male
435,Died,1,male
436,Survived,1,female
437,Died,3,female
438,Survived,2,female
439,Died,1,male
440,Died,2,male
441,Survived,2,female
442,Died,3,male
443,Died,3,male
444,Survived,2,female
445,Survived,3,male
446,Survived,1,male
447,Survived,2,female
448,Survived,1,male
449,Survived,3,female
450,Survived,1,male
451,Died,2,male
452,Died,3,male
453,Died,1,male
454,Survived,1,male
455,Died,3,male
456,Survived,3,male
457,Died,1,male
458,Survived,1,female
459,Survived,2,female
460,Died,3,male
461,Survived,1,male
462,Died,3,male
463,Died,1,male
464,Died,2,male
465,Died,3,male
466,Died,3,male
467,Died,2,male
468,Died,1,male
469,Died,3,male
470,Survived,3,female
471,Died,3,male
472,Died,3,male
473,Survived,2,female
474,Survived,2,female
475,Died,3,female
476,Died,1,male
477,Died,2,male
478,Died,3,male
479,Died,3,male
480,Survived,3,female
481,Died,3,male
482,Died,2,male
483,Died,3,male
484,Survived,3,female
485,Survived,1,male
486,Died,3,female
487,Survived,1,female
488,Died,1,male
489,Died,3,male
490,Survived,3,male
491,Died,3,male
492,Died,3,male
493,Died,1,male
494,Died,1,male
495,Died,3,male
496,Died,3,male
497,Survived,1,female
498,Died,3,male
499,Died,1,female
500,Died,3,male
501,Died,3,male
502,Died,3,female
503,Died,3,female
504,Died,3,female
505,Survived,1,female
506,Died,1,male
507,Survived,2,female
508,Survived,1,male
509,Died,3,male
510,Survived,3,male
511,Survived,3,male
512,Died,3,male
513,Survived,1,male
514,Survived,1,female
515,Died,3,male
516,Died,1,male
517,Survived,2,female
518,Died,3,male
519,Survived,2,female
520,Died,3,male
521,Survived,1,female
522,Died,3,male
523,Died,3,male
524,Survived,1,female
525,Died,3,male
526,Died,3,male
527,Survived,2,female
528,Died,1,male
529,Died,3,male
530,Died,2,male
531,Survived,2,female
532,Died,3,male
533,Died,3,male
534,Survived,3,female
535,Died,3,female
536,Survived,2,female
537,Died,1,male
538,Survived,1,female
539,Died,3,male
540,Survived,1,female
541,Survived,1,female
542,Died,3,female
543,Died,3,female
544,Survived,2,male
545,Died,1,male
546,Died,1,male
547,Survived,2,female
548,Survived,2,male
549,Died,3,male
550,Survived,2,male
551,Survived,1,male
552,Died,2,male
553,Died,3,male
554,Survived,3,male
555,Survived,3,female
556,Died,1,male
557,Survived,1,female
558,Died,1,male
559,Survived,1,female
560,Survived,3,female
561,Died,3,male
562,Died,3,male
563,Died,2,male
564,Died,3,male
565,Died,3,female
566,Died,3,male
567,Died,3,male
568,Died,3,female
569,Died,3,male
570,Survived,3,male
571,Survived,2,male
572,Survived,1,female
573,Survived,1,male
574,Survived,3,female
575,Died,3,male
576,Died,3,male
577,Survived,2,female
578,Survived,1,female
579,Died,3,female
580,Survived,3,male
581,Survived,2,female
582,Survived,1,female
583,Died,2,male
584,Died,1,male
585,Died,3,male
586,Survived,1,female
587,Died,2,male
588,Survived,1,male
589,Died,3,male
590,Died,3,male
591,Died,3,male
592,Survived,1,female
593,Died,3,male
594,Died,3,female
595,Died,2,male
596,Died,3,male
597,Survived,2,female
598,Died,3,male
599,Died,3,male
600,Survived,1,male
601,Survived,2,female
602,Died,3,male
603,Died,1,male
604,Died,3,male
605,Survived,1,male
606,Died,3,male
607,Died,3,male
608,Survived,1,male
609,Survived,2,female
610,Survived,1,female
611,Died,3,female
612,Died,3,male
613,Survived,3,female
614,Died,3,male
615,Died,3,male
616,Survived,2,female
617,Died,3,male
618,Died,3,female
619,Survived,2,female
620,Died,2,male
621,Died,3,male
622,Survived,1,male
623,Survived,3,male
624,Died,3,male
625,Died,3,male
626,Died,1,male
627,Died,2,male
628,Survived,1,female
629,Died,3,male
630,Died,3,male
631,Survived,1,male
632,Died,3,male
633,Survived,1,male
634,Died,1,male
635,Died,3,female
636,Survived,2,female
637,Died,3,male
638,Died,2,male
639,Died,3,female
640,Died,3,male
641,Died,3,male
642,Survived,1,female
643,Died,3,female
644,Survived,3,male
645,Survived,3,female
646,Survived,1,male
647,Died,3,male
648,Survived,1,male
649,Died,3,male
650,Survived,3,female
651,Died,3,male
652,Survived,2,female
653,Died,3,male
654,Survived,3,female
655,Died,3,female
656,Died,2,male
657,Died,3,male
658,Died,3,female
659,Died,2,male
660,Died,1,male
661,Survived,1,male
662,Died,3,male
663,Died,1,male
664,Died,3,male
665,Survived,3,male
666,Died,2,male
667,Died,2,male
668,Died,3,male
669,Died,3,male
670,Survived,1,female
671,Survived,2,female
672,Died,1,male
673,Died,2,male
674,Survived,2,male
675,Died,2,male
676,Died,3,male
677,Died,3,male
678,Survived,3,female
679,Died,3,female
680,Survived,1,male
681,Died,3,female
682,Survived,1,male
683,Died,3,male
684,Died,3,male
685,Died,2,male
686,Died,2,male
687,Died,3,male
688,Died,3,male
689,Died,3,male
690,Survived,1,female
691,Survived,1,male
692,Survived,3,female
693,Survived,3,male
694,Died,3,male
695,Died,1,male
696,Died,2,male
697,Died,3,male
698,Survived,3,female
699,Died,1,male
700,Died,3,male
701,Survived,1,female
702,Survived,1,male
703,Died,3,female
704,Died,3,male
705,Died,3,male
706,Died,2,male
707,Survived,2,female
708,Survived,1,male
709,Survived,1,female
710,Survived,3,male
711,Survived,1,female
712,Died,1,male
713,Survived,1,male
714,Died,3,male
715,Died,2,male
716,Died,3,male
717,Survived,1,female
718,Survived,2,female
719,Died,3,male
720,Died,3,male
721,Survived,2,female
722,Died,3,male
723,Died,2,male
724,Died,2,male
725,Survived,1,male
726,Died,3,male
727,Survived,2,female
728,Survived,3,female
729,Died,2,male
730,Died,3,female
731,Survived,1,female
732,Died,3,male
733,Died,2,male
734,Died,2,male
735,Died,2,male
736,Died,3,male
737,Died,3,female
738,Survived,1,male
739,Died,3,male
740,Died,3,male
741,Survived,1,male
742,Died,1,male
743,Survived,1,female
744,Died,3,male
745,Survived,3,male
746,Died,1,male
747,Died,3,male
748,Survived,2,female
749,Died,1,male
750,Died,3,male
751,Survived,2,female
752,Survived,3,male
753,Died,3,male
754,Died,3,male
755,Survived,2,female
756,Survived,2,male
757,Died,3,male
758,Died,2,male
759,Died,3,male
760,Survived,1,female
761,Died,3,male
762,Died,3,male
763,Survived,3,male
764,Survived,1,female
765,Died,3,male
766,Survived,1,female
767,Died,1,male
768,Died,3,female
769,Died,3,male
770,Died,3,male
771,Died,3,male
772,Died,3,male
773,Died,2,female
774,Died,3,male
775,Survived,2,female
776,Died,3,male
777,Died,3,male
778,Survived,3,female
779,Died,3,male
780,Survived,1,female
781,Survived,3,female
782,Survived,1,female
783,Died,1,male
784,Died,3,male
785,Died,3,male
786,Died,3,male
787,Survived,3,female
788,Died,3,male
789,Survived,3,male
790,Died,1,male
791,Died,3,male
792,Died,2,male
793,Died,3,female
794,Died,1,male
795,Died,3,male
796,Died,2,male
797,Survived,1,female
798,Survived,3,female
799,Died,3,male
800,Died,3,female
801,Died,2,male
802,Survived,2,female
803,Survived,1,male
804,Survived,3,male
805,Survived,3,male
806,Died,3,male
807,Died,1,male
808,Died,3,female
809,Died,2,male
810,Survived,1,female
811,Died,3,male
812,Died,3,male
813,Died,2,male
814,Died,3,female
815,Died,3,male
816,Died,1,male
817,Died,3,female
818,Died,2,male
819,Died,3,male
820,Died,3,male
821,Survived,1,female
822,Survived,3,male
823,Died,1,male
824,Survived,3,female
825,Died,3,male
826,Died,3,male
827,Died,3,male
828,Survived,2,male
829,Survived,3,male
830,Survived,1,female
831,Survived,3,female
832,Survived,2,male
833,Died,3,male
834,Died,3,male
835,Died,3,male
836,Survived,1,female
837,Died,3,male
838,Died,3,male
839,Survived,3,male
840,Survived,1,male
841,Died,3,male
842,Died,2,male
843,Survived,1,female
844,Died,3,male
845,Died,3,male
846,Died,3,male
847,Died,3,male
848,Died,3,male
849,Died,2,male
850,Survived,1,female
851,Died,3,male
852,Died,3,male
853,Died,3,female
854,Survived,1,female
855,Died,2,female
856,Survived,3,female
857,Survived,1,female
858,Survived,1,male
859,Survived,3,female
860,Died,3,male
861,Died,3,male
862,Died,2,male
863,Survived,1,female
864,Died,3,female
865,Died,2,male
866,Survived,2,female
867,Survived,2,female
868,Died,1,male
869,Died,3,male
870,Survived,3,male
871,Died,3,male
872,Survived,1,female
873,Died,1,male
874,Died,3,male
875,Survived,2,female
876,Survived,3,female
877,Died,3,male
878,Died,3,male
879,Died,3,male
880,Survived,1,female
881,Survived,2,female
882,Died,3,male
883,Died,3,female
884,Died,2,male
885,Died,3,male
886,Died,3,female
887,Died,2,male
888,Survived,1,female
889,Died,3,female
890,Survived,1,male
891,Died,3,male
