sex,age,headL,skullW,totalL,tailL
m,8,94.1,60.4,89,36
f,6,92.5,57.6,91.5,36.5
f,6,94,60,95.5,39
f,6,93.2,57.1,92,38
f,2,91.5,56.3,85.5,36
f,1,88.3,54.8,90.5,35.5
m,2,95.3,58.2,89.5,36
f,6,94.8,57.6,91,37
f,9,93.4,56.3,120.4,55.3
f,6,91.8,58,89.5,37.5
f,9,93.3,57.2,89.5,39
f,5,94.9,55.6,92,35.5
m,5,95.1,59.9,89.5,36
m,3,95.4,57.6,91.5,36
m,5,92.9,57.6,85.5,34
m,4,91.6,56,86,34.5
f,1,86.3,60.1,89.5,36.5
m,2,93.5,55.7,90,36
f,5,94.4,55.4,90.5,35
f,4,94.8,56.3,89,38
f,3,95.9,58.1,96.5,39.5
m,3,96.3,58.5,91,39.5
f,4,92.5,56.1,89,36
m,2,94.4,54.9,84,34
m,3,95.8,58.5,91.5,35.5
m,7,96,59,90,36
f,2,90.5,54.5,85,35
m,4,93.8,56.8,87,34.5
f,3,92.8,56,88,35
f,2,92.1,54.4,84,33.5
m,3,92.8,54.1,93,37
f,4,94.3,56.7,94,39
m,3,91.4,54.6,89,37
m,2,90.6,55.7,85.5,36.5
m,4,94.4,57.9,85,35.5
m,7,93.3,59.3,88,35
f,2,89.3,54.8,82.5,35
m,7,92.4,56,80.5,35.5
f,1,84.7,51.5,75,34
f,3,91,55,84.5,36
f,5,88.4,57,83,36.5
m,3,85.3,54.1,77,32
f,2,90,55.5,81,32
m,3,85.1,51.5,76,35.5
m,3,90.7,55.9,81,34
m,2,91.4,54.4,84,35