SeriousDlqin2yrs,age,NumberOfTime3059DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime6089DaysPastDueNotWorse,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,DebtRatio
0.0,56,1,3714.0,6,0,0,0,0.0,0.147047386,0.11440107699999999
0.0,35,0,3900.0,8,0,1,0,2.0,0.982232725,0.799282235
0.0,39,0,12660.0,9,0,2,0,2.0,0.13653642,0.267040518
0.0,71,0,3500.0,5,0,0,0,0.0,0.045505408,0.021708083
0.0,59,0,3000.0,5,0,0,0,1.0,0.030994834,0.279240253
0.0,36,0,6250.0,5,0,0,0,2.0,0.331857323,0.09742441199999999
0.0,78,0,3000.0,6,0,0,0,0.0,0.010645886,0.00733089
0.0,52,0,6757.0,8,0,0,0,0.0,0.203162247,0.11275525300000001
0.0,40,0,3734.0,8,0,1,0,1.0,0.0,0.38741633200000003
0.0,57,0,10833.0,9,0,2,0,0.0,0.023634829,0.21515599
0.0,39,0,3000.0,10,0,2,0,4.0,0.180268138,0.342885705
0.0,59,0,10100.0,14,0,3,0,0.0,0.0,0.352836353
0.0,68,0,10500.0,15,0,3,0,1.0,0.0014267000000000001,0.185220455
0.0,77,1,4300.0,11,0,1,0,0.0,0.17601629800000002,0.232271565
0.0,45,0,3092.0,4,0,0,0,2.0,0.12727134199999998,0.03233107
0.0,51,0,9985.0,17,0,4,0,0.0,0.069987616,0.38924494299999995
0.0,54,0,2673.0,8,0,1,0,0.0,0.011597477,0.567314884
0.0,52,0,3500.0,8,0,0,0,0.0,0.713458281,0.343330477
0.0,56,0,3822.0,9,0,1,0,0.0,0.514194019,0.5398901389999999
0.0,49,2,5050.0,9,0,0,1,3.0,0.515429989,0.274005147
0.0,49,0,4647.0,14,0,3,0,0.0,0.015572167,0.341006885
0.0,54,0,3500.0,9,0,0,0,0.0,0.032945929,0.008283348000000001
0.0,67,0,15000.0,8,0,1,0,0.0,0.107475924,0.128124792
0.0,46,0,16666.0,6,0,1,0,2.0,0.049677019,0.38363232700000005
0.0,66,3,6000.0,16,0,1,0,0.0,0.21993432100000002,0.98950175
0.0,73,0,3797.0,13,0,3,0,0.0,0.175136609,0.6079515529999999
0.0,64,0,6442.0,5,0,1,0,0.0,0.0,0.234362874
0.0,45,0,6500.0,4,0,0,0,2.0,0.500577666,0.12936471300000002
0.0,40,0,6500.0,10,0,0,0,0.0,0.7888225759999999,0.42516535899999996
0.0,28,0,5800.0,5,0,0,0,0.0,0.092821216,0.023961386
0.0,47,2,14500.0,10,0,2,1,0.0,0.984595256,0.313702503
0.0,52,0,10000.0,10,0,1,0,0.0,0.24718235,0.10368963099999999
0.0,81,0,2400.0,4,0,0,0,0.0,0.033296397,0.014993753
0.0,67,0,5475.0,11,0,1,0,0.0,0.017908683999999998,0.133308985
0.0,52,0,11564.0,18,0,2,0,1.0,0.402431331,0.237527021
0.0,64,0,5218.0,7,0,1,0,0.0,0.044905825,0.164016095
0.0,38,0,12750.0,9,0,2,0,2.0,0.172173954,0.136459885
0.0,43,0,15550.0,7,0,2,0,2.0,0.0,0.6148157670000001
0.0,37,0,4367.0,8,0,0,0,4.0,0.034300951,0.121794872
0.0,35,0,8500.0,0,3,0,0,1.0,0.9999998999999999,0.028937772
0.0,35,0,1400.0,8,0,2,0,2.0,0.600296687,1.988579586
0.0,60,0,10500.0,8,0,1,0,0.0,0.000446799,0.27206932699999997
0.0,44,0,11064.0,8,0,2,0,3.0,0.061090427,0.340352463
0.0,54,0,14600.0,9,0,2,0,3.0,0.20946317600000003,0.193548387
0.0,53,0,6700.0,10,0,1,0,2.0,0.724271335,0.619310551
0.0,26,0,5000.0,4,0,0,0,0.0,0.037890747999999995,0.075784843
0.0,61,0,1710.0,10,0,0,0,0.0,0.135620821,0.8842781999999999
0.0,48,1,6750.0,6,2,0,1,0.0,0.992909735,0.180565842
0.0,51,0,3200.0,7,0,1,0,0.0,0.382330015,0.6538581689999999
0.0,73,0,16317.0,6,0,2,0,1.0,0.10899564,0.2402868
0.0,26,0,3950.0,7,0,1,0,0.0,0.525134079,0.256390787
0.0,48,0,2542.0,7,0,1,0,0.0,0.0018460829999999999,0.289421943
0.0,58,0,10000.0,8,0,0,0,0.0,0.013129606,0.00229977
0.0,61,2,8000.0,8,0,0,0,0.0,0.647041221,0.10886139199999999
0.0,79,0,8000.0,9,0,1,0,0.0,0.128860445,0.302462192
0.0,46,0,9828.0,13,0,3,0,1.0,0.01378473,0.43564960799999997
0.0,57,0,6764.0,6,0,0,0,0.0,0.0,0.082039911
0.0,49,0,6603.0,12,0,1,0,0.0,0.011762731,0.112204724
0.0,59,1,4000.0,16,0,1,0,0.0,0.42250596100000004,0.336415896
0.0,47,3,5400.0,11,0,0,1,0.0,0.65791776,0.261618219
0.0,48,2,6645.0,8,0,1,1,0.0,0.223436875,0.241799579
0.0,49,0,15150.0,11,0,3,0,0.0,0.542818837,0.302488285
0.0,62,0,6598.0,8,0,1,0,1.0,0.039285312999999995,0.17820882
0.0,30,0,4333.0,8,0,0,0,0.0,0.14860533,0.114905399
0.0,38,0,3390.0,7,0,1,0,3.0,0.005945143000000001,0.35564730200000005
0.0,64,0,3216.0,5,0,0,0,0.0,0.11655536,0.015231581999999999
0.0,49,0,9167.0,5,0,0,0,1.0,0.14217664800000002,0.019633508
0.0,63,0,3000.0,9,0,1,0,1.0,0.344622928,0.24591802699999998
0.0,78,0,3401.0,5,0,0,0,0.0,0.005052018,0.008230453
0.0,33,1,3400.0,6,0,0,0,0.0,0.76222673,0.158482799
0.0,51,2,16333.0,13,0,1,0,3.0,0.511269726,0.29245745100000003
0.0,42,0,2916.0,6,1,0,0,1.0,0.480311703,0.099417209
0.0,50,1,2849.0,8,0,1,0,1.0,0.318523033,0.582105263
0.0,68,0,10300.0,6,0,1,0,1.0,0.8032196779999999,0.1470731
0.0,61,0,14000.0,7,0,1,0,2.0,0.073548215,0.18648668
0.0,50,0,9000.0,16,0,0,0,0.0,0.200540642,0.103766248
0.0,31,0,3205.0,2,0,0,0,0.0,0.012838802,0.179975047
0.0,46,0,2700.0,8,0,1,0,3.0,0.194585448,0.461680859
0.0,74,0,12500.0,10,0,1,0,1.0,0.066897868,0.167666587
0.0,46,2,5500.0,5,0,2,0,2.0,0.190127409,0.188692965
0.0,61,0,4800.0,7,0,1,0,0.0,0.222407393,0.22224536600000003
0.0,61,1,4756.0,17,0,1,1,0.0,0.506668414,0.651040572
0.0,42,0,5500.0,2,6,0,2,1.0,1.213683759,0.20087256899999997
0.0,58,3,2745.0,10,0,1,0,1.0,0.19731700600000002,0.445010925
0.0,37,0,4364.0,11,0,2,0,0.0,0.009507974,0.57021764
0.0,76,0,1666.0,7,0,0,0,0.0,0.050636213,0.031193761
0.0,54,2,5640.0,11,0,2,0,1.0,0.614176728,0.519765999
0.0,64,0,3928.0,15,0,0,0,0.0,0.8827448370000001,0.20972257600000002
0.0,48,1,13500.0,11,0,2,0,1.0,0.436656417,0.382193912
0.0,71,0,3178.0,17,0,1,0,2.0,0.429571872,0.471531928
0.0,80,0,5000.0,19,0,1,0,0.0,0.504743053,1.044591082
0.0,55,0,6866.0,7,0,2,0,1.0,0.013672123000000001,0.243046454
0.0,65,0,6166.0,10,0,2,0,1.0,0.0,0.36468299
0.0,67,0,7608.0,12,0,1,0,0.0,0.434192942,0.43908529399999996
0.0,53,0,5833.0,5,0,0,0,2.0,0.461230797,0.20860473100000002
0.0,74,0,3350.0,13,0,1,0,0.0,0.05686688,0.465831095
0.0,36,0,5769.0,6,0,1,0,1.0,0.0,0.36135182
0.0,54,0,2240.0,6,0,1,0,1.0,0.9999998999999999,0.409192325
0.0,54,0,23782.0,6,0,1,0,3.0,0.9999998999999999,0.080814027
0.0,81,0,15500.0,25,0,2,0,1.0,0.057194838,0.188503967
0.0,67,0,7939.0,8,0,3,0,0.0,0.0,0.489798489
0.0,29,0,2416.0,12,0,2,0,0.0,0.87701755,2.599503517
0.0,36,0,4167.0,11,0,1,0,2.0,0.171529037,0.738963532
0.0,60,0,6667.0,7,0,2,0,0.0,0.9570085979999999,0.376424715
0.0,44,1,6000.0,6,0,2,0,0.0,0.10763079,0.5765705720000001
0.0,56,0,17334.0,10,0,0,0,0.0,0.652682044,0.11629651
0.0,61,0,7550.0,9,0,1,0,0.0,0.057549891,0.26910343
0.0,38,0,3000.0,6,0,0,0,1.0,0.9590971859999999,0.421526158
0.0,34,0,3589.0,1,0,0,0,0.0,0.9999998999999999,0.098607242
0.0,89,0,6000.0,2,0,0,0,0.0,0.9999998999999999,0.0
0.0,36,0,4000.0,3,0,1,0,0.0,0.0,0.19920020000000002
0.0,41,0,9352.0,5,0,1,0,1.0,0.778465905,0.338501016
0.0,49,0,6666.0,12,0,2,0,1.0,0.014181515,0.6898155090000001
0.0,59,0,7384.0,4,0,1,0,0.0,0.236244094,0.359106297
0.0,72,1,6317.0,7,0,1,0,0.0,0.0,0.116650839
0.0,77,0,4500.0,15,0,0,0,0.0,0.053580199,0.031104199
0.0,39,6,7000.0,18,1,1,0,0.0,0.280652517,0.25796314800000003
0.0,30,1,3279.0,2,0,0,2,0.0,0.788359788,0.015243902
0.0,47,0,4660.0,3,0,0,0,0.0,0.219140177,0.19716799
0.0,62,1,7000.0,8,1,1,0,0.0,0.032065598,0.17554635100000002
0.0,50,1,4584.0,11,0,0,0,0.0,0.921260885,0.444274809
0.0,60,0,6278.0,12,0,1,0,0.0,0.969187171,0.5747730529999999
0.0,64,0,11325.0,14,0,1,0,1.0,0.387184862,0.302843016
0.0,34,0,3916.0,7,0,2,0,0.0,0.15364667699999998,1.220066377
0.0,45,0,13000.0,13,0,1,0,3.0,0.067077344,0.242750558
0.0,39,0,14000.0,10,0,1,0,3.0,0.518155203,0.21827012399999998
0.0,54,0,2300.0,8,0,1,0,0.0,0.07044410400000001,0.44589309
0.0,27,0,4507.0,4,0,0,0,0.0,0.09961825099999999,0.079636202
0.0,63,0,3900.0,9,0,1,0,0.0,0.01347333,0.293514483
0.0,48,0,3962.0,2,0,0,0,0.0,0.097931379,0.063588191
0.0,46,0,4250.0,10,0,1,0,0.0,0.762879234,0.617266526
0.0,71,0,6250.0,10,0,1,1,0.0,0.056982859000000004,0.181890897
0.0,56,0,3500.0,10,0,1,0,0.0,0.28195926600000004,1.2205084259999999
0.0,64,0,5400.0,13,0,3,0,0.0,0.0030230229999999997,0.7842992040000001
0.0,42,0,7000.0,5,0,0,0,1.0,0.042534707000000005,0.011141266
0.0,52,0,4333.0,8,0,0,0,0.0,0.081902905,0.024457776
0.0,49,0,3756.0,10,0,1,0,4.0,0.669549826,0.835507054
0.0,51,0,39532.0,12,0,3,0,2.0,0.22169358,0.132724559
0.0,49,0,8000.0,10,1,0,0,0.0,0.027437639,0.05911761
0.0,57,0,10823.0,7,0,1,0,2.0,0.0,0.17812269
0.0,29,1,1474.0,9,0,0,0,0.0,0.285918309,0.442033898
0.0,45,0,6000.0,13,0,2,0,3.0,0.289977282,1.096817197
0.0,41,2,5400.0,2,0,0,0,1.0,0.9999998999999999,0.083688206
0.0,71,0,4304.0,9,0,2,0,0.0,0.112752435,0.432288037
0.0,31,0,9445.0,14,0,2,0,1.0,0.717056589,0.31674783
0.0,67,0,6000.0,3,0,0,0,0.0,0.0,0.01349775
0.0,33,1,3585.0,5,0,0,0,2.0,0.15450683699999998,0.041271612
0.0,45,0,7915.0,10,0,1,0,2.0,0.040024561,0.553562405
0.0,48,0,5783.0,19,0,2,0,1.0,0.579407068,0.774896266
0.0,50,0,13275.0,12,0,2,0,2.0,0.08606286099999999,0.37669478799999995
0.0,38,0,2000.0,8,0,2,0,2.0,0.143242838,1.4502748630000002
0.0,77,0,5000.0,9,0,0,0,0.0,0.0037640029999999997,0.00359928
0.0,28,0,6200.0,2,0,0,0,0.0,0.625863532,0.136429608
0.0,59,0,7203.0,10,0,1,0,0.0,0.0,0.20696835100000002
0.0,51,1,10416.0,9,0,3,0,1.0,0.847046118,0.27819909800000003
0.0,31,0,2500.0,8,0,0,1,0.0,0.732601451,0.343062775
0.0,72,0,2583.0,6,0,0,0,0.0,0.181760586,0.128482972
0.0,51,0,4900.0,6,0,0,0,0.0,0.873312669,0.071822077
0.0,71,0,19000.0,11,0,2,0,0.0,0.268276223,0.723488237
0.0,70,0,8500.0,19,0,4,0,0.0,0.021353518,0.612516175
0.0,50,0,9500.0,8,0,1,0,2.0,0.001161686,0.109041154
0.0,49,0,7000.0,12,0,1,0,0.0,0.045155938,0.179831453
0.0,75,0,4000.0,11,0,0,0,0.0,0.017107429,0.008247938
0.0,41,0,15833.0,9,0,0,0,0.0,0.23905622399999998,0.037451055
0.0,35,0,4200.0,18,0,1,0,4.0,0.00419504,0.413711021
0.0,50,0,7166.0,1,0,0,0,0.0,0.9999998999999999,0.096832705
0.0,26,0,3000.0,4,0,0,0,0.0,0.094639056,0.09830056599999999
0.0,68,0,5000.0,4,0,2,0,0.0,0.065531149,0.46630673899999997
0.0,53,0,5867.0,6,0,1,0,3.0,2.78e-05,0.27845944100000003
0.0,44,0,23533.0,11,0,0,0,0.0,0.5600652389999999,0.118126965
0.0,30,0,9185.0,2,0,0,1,1.0,0.0,0.014043109
0.0,71,1,3500.0,30,0,0,0,0.0,0.191764601,0.242787775
0.0,27,0,3466.0,6,0,0,0,0.0,0.130720909,0.11825786
0.0,73,0,5610.0,6,0,0,0,0.0,0.01895061,0.005703083
0.0,53,0,12596.0,17,0,1,0,0.0,0.31378024,0.435818052
0.0,43,0,4300.0,4,0,1,0,4.0,0.7722562270000001,0.455707975
0.0,51,0,4455.0,4,0,0,0,0.0,0.016866291999999998,0.046903052
0.0,42,0,4011.0,4,0,0,0,3.0,0.038331454,0.0057328019999999995
0.0,65,0,2900.0,13,0,1,0,0.0,0.066048349,0.508790072
0.0,45,0,2000.0,8,0,1,0,0.0,0.176363847,0.394302849
0.0,44,0,3000.0,0,0,0,0,3.0,0.9999998999999999,0.015994668
0.0,43,1,2700.0,8,0,1,1,2.0,0.0013332889999999999,0.411329137
0.0,31,2,2400.0,9,0,0,0,0.0,0.926257753,0.203248646
0.0,61,0,8954.0,3,0,2,0,0.0,0.9999998999999999,0.253266332
0.0,61,0,7596.0,11,0,1,0,0.0,0.283635152,0.261813874
0.0,40,0,3358.0,15,0,9,0,0.0,0.7572289659999999,1.740101221
0.0,55,0,8116.0,9,0,0,0,2.0,0.6335585220000001,0.328323272
0.0,42,0,4663.0,21,0,2,0,1.0,0.08031492900000001,0.433962264
0.0,34,2,3660.0,10,0,0,0,1.0,0.630550175,0.341436766
0.0,54,0,9114.0,15,0,1,0,1.0,0.20926109899999998,0.368294021
0.0,72,0,6000.0,18,0,2,0,0.0,0.069763188,0.481753041
0.0,29,0,1560.0,5,0,0,0,0.0,0.02969703,0.041639973999999996
0.0,60,0,10000.0,12,0,0,0,1.0,0.259124447,0.118088191
0.0,68,0,3200.0,7,0,1,0,0.0,0.259772812,0.391440175
0.0,68,0,18333.0,14,0,3,0,1.0,0.042803241,0.417203011
0.0,54,0,5494.0,12,0,1,0,0.0,0.921748352,0.581437671
0.0,54,0,4113.0,8,0,1,0,3.0,0.410117694,0.48104035
0.0,48,0,13139.0,16,0,4,0,1.0,0.072582643,0.23546423100000002
0.0,49,0,5000.0,15,0,2,0,0.0,0.26917822199999997,0.367726455
0.0,58,0,4410.0,0,0,0,0,0.0,0.9999998999999999,0.007708003000000001
0.0,61,0,3400.0,12,0,1,0,3.0,0.133787935,0.343428403
0.0,44,0,5000.0,6,0,0,0,0.0,0.37037741,0.277144571
0.0,48,0,11250.0,10,0,2,0,2.0,0.16483065,0.45382632700000003
0.0,60,0,3300.0,13,0,2,0,0.0,0.957025592,0.195758861
0.0,72,0,3066.0,10,0,1,0,0.0,0.49928335700000004,0.35637430700000006
0.0,61,0,4166.0,11,0,0,0,0.0,0.0,0.081113511
0.0,52,0,5000.0,5,0,1,0,1.0,0.10044541400000001,0.183563287
0.0,61,0,5800.0,11,0,3,0,1.0,0.021300568,0.850198242
0.0,83,0,2018.0,1,0,0,1,0.0,0.262288737,0.029717682000000002
0.0,25,0,4250.0,5,0,0,0,0.0,0.626197817,0.12138320400000001
0.0,66,0,2000.0,3,0,0,0,0.0,0.016542385,0.007996002
0.0,67,0,4500.0,10,0,3,0,1.0,0.053783202,0.467451677
0.0,45,1,5700.0,10,0,1,1,0.0,0.830927063,0.388528328
0.0,50,0,7516.0,17,0,1,0,2.0,0.321512584,0.554343488
0.0,41,0,7000.0,16,0,1,0,1.0,0.258405608,0.22668190300000002
0.0,49,1,10566.0,7,0,2,0,0.0,0.286814484,0.248414877
0.0,51,0,7300.0,23,0,1,0,1.0,0.422858656,0.424873305
0.0,51,0,3900.0,4,0,0,0,0.0,0.060342215,0.022814663
0.0,52,0,3000.0,6,0,1,0,0.0,0.504366376,0.652115961
0.0,78,0,7916.0,6,0,1,0,0.0,0.0043632540000000004,0.067828723
0.0,56,2,14000.0,15,0,1,1,1.0,0.081020804,0.317548747
0.0,55,0,8800.0,18,0,3,0,2.0,0.18473178399999998,0.836268606
0.0,49,0,1200.0,11,0,0,0,0.0,0.015974541999999998,0.037468776
0.0,67,0,4800.0,9,0,1,0,0.0,0.08625688,0.365132264
0.0,36,0,8102.0,8,0,1,0,1.0,0.13201813199999998,0.091941256
0.0,85,1,4300.0,11,0,0,0,0.0,0.0,0.09579167599999999
0.0,58,0,4523.0,3,0,1,0,0.0,0.276641145,0.291114058
0.0,56,1,7083.0,13,0,2,0,1.0,0.10967967099999999,0.26933935600000003
0.0,78,0,10500.0,13,0,0,0,0.0,0.001234025,0.000476145
0.0,67,0,17800.0,10,0,1,0,1.0,0.024780012999999997,0.113252064
0.0,61,0,19000.0,4,0,1,0,1.0,0.055220995,0.920530498
0.0,73,0,8939.0,7,0,1,0,0.0,0.114264882,0.41800894899999996
0.0,41,0,6179.0,12,0,2,0,0.0,0.264210583,0.502265372
0.0,62,0,15500.0,6,0,2,0,1.0,0.029239415,0.18411715399999998
0.0,56,0,6250.0,11,0,1,0,2.0,0.661934491,0.411614142
0.0,36,0,5000.0,8,0,1,0,1.0,0.148118836,0.342131574
0.0,48,0,3750.0,4,0,0,0,0.0,0.684664772,0.051719540999999994
0.0,67,0,2500.0,7,0,0,0,0.0,0.06058819,0.027988804
0.0,63,0,4000.0,5,0,0,0,2.0,0.16968303199999998,0.012496876
0.0,60,1,7233.0,14,0,1,0,1.0,0.6903462359999999,0.35982858700000003
0.0,57,0,4800.0,6,0,1,0,0.0,0.188878236,0.194126224
0.0,57,4,3666.0,10,1,2,0,0.0,0.567175233,0.7540223620000001
0.0,49,0,21000.0,9,0,2,0,2.0,0.0,0.372744155
0.0,60,0,5268.0,6,0,1,0,0.0,0.41277174299999997,0.43537673200000004
0.0,49,0,7916.0,7,0,1,0,1.0,0.9999998999999999,0.481748137
0.0,56,0,9206.0,16,0,1,0,0.0,0.0,0.272944499
0.0,56,0,4000.0,3,0,1,0,0.0,0.144785634,0.419395151
0.0,46,0,11504.0,6,0,2,0,1.0,0.370587415,0.230682312
0.0,39,0,3650.0,10,0,2,0,0.0,0.028332389,0.711038072
0.0,47,1,6047.0,13,0,1,0,3.0,0.16810540699999998,0.676256614
0.0,42,0,3279.0,7,0,0,0,0.0,0.033368373,0.155487805
0.0,63,0,11600.0,11,0,1,0,1.0,0.11924701900000001,0.169899147
0.0,72,0,4300.0,6,0,0,0,0.0,0.257345074,0.241106719
0.0,48,1,1900.0,7,0,0,0,3.0,0.530933333,0.296685955
0.0,87,0,2056.0,7,0,0,0,0.0,0.011075825,0.007778318
0.0,67,0,3833.0,5,0,0,0,0.0,0.026069464,0.017214397
0.0,54,0,7262.0,18,0,3,0,1.0,0.03465099,0.8796640509999999
0.0,44,0,4800.0,11,0,2,0,0.0,0.0,0.51697563
0.0,74,0,3885.0,7,0,1,0,0.0,0.025549434,0.15748842
0.0,49,0,4833.0,14,0,1,0,0.0,0.245210659,0.371121225
0.0,47,0,8750.0,8,0,2,0,3.0,0.066188555,0.159067535
0.0,57,3,4595.0,12,0,1,0,0.0,0.11348841,0.27828546600000004
0.0,36,0,6200.0,4,0,1,0,0.0,0.040393674,0.193033382
0.0,90,1,3000.0,8,0,0,0,0.0,0.205574913,0.130956348
0.0,51,0,4300.0,8,0,1,0,1.0,0.07820455400000001,0.569634969
0.0,37,0,5061.0,4,0,0,1,0.0,0.9999998999999999,0.271236665
0.0,70,0,5500.0,5,0,1,0,0.0,0.008302779,0.20269042
0.0,43,0,5112.0,11,0,1,0,0.0,0.220765533,0.478779581
0.0,79,0,4000.0,8,0,0,0,0.0,0.206953429,0.206698325
0.0,65,0,7000.0,6,0,1,0,0.0,0.039485419,0.23310955600000002
0.0,51,3,6577.0,6,0,1,0,1.0,0.0,0.24627546399999997
0.0,45,0,8566.0,10,0,2,0,2.0,0.483826566,0.36325434799999995
0.0,41,0,9298.0,10,0,2,0,1.0,0.209377745,0.381008711
0.0,33,0,10000.0,15,0,2,0,0.0,0.45092090100000004,0.394960504
0.0,56,0,9000.0,7,0,1,0,0.0,0.11211435,0.249194534
0.0,62,0,7461.0,15,1,0,0,0.0,0.030157912999999998,0.10975609800000001
0.0,50,0,7800.0,4,0,2,0,2.0,0.24008799600000003,0.47750288399999996
0.0,54,0,8170.0,6,0,1,0,2.0,0.045045045,0.257740791
0.0,78,0,5000.0,6,0,1,0,0.0,0.048801493,0.229554089
0.0,58,0,5416.0,9,0,2,0,1.0,0.069607595,0.558427174
0.0,62,0,12378.0,9,0,1,0,0.0,0.272118617,0.229501575
0.0,52,0,2500.0,3,0,1,0,1.0,0.0,0.22750899600000002
0.0,51,0,7333.0,16,0,2,0,0.0,0.158971961,0.730024543
0.0,58,0,5991.0,24,0,2,0,0.0,0.0018044920000000002,0.303571429
0.0,66,0,1400.0,7,0,0,0,0.0,0.003344153,0.234832263
0.0,77,0,11000.0,7,0,1,0,1.0,0.032750617,0.202617944
0.0,62,0,8250.0,8,0,1,0,2.0,0.14334355699999998,0.204338868
0.0,68,0,3333.0,13,0,2,0,0.0,0.214185601,0.42021595700000003
0.0,34,0,3500.0,4,0,0,0,0.0,0.001650325,0.0
0.0,71,0,4000.0,10,0,0,0,0.0,0.017999581,0.005498625
0.0,30,0,2400.0,5,0,0,0,0.0,0.251497006,0.211995002
0.0,31,0,5833.0,7,0,1,0,0.0,0.292064358,0.281282139
0.0,51,0,3866.0,1,0,0,0,3.0,0.9999998999999999,0.15283165199999998
0.0,35,0,8700.0,4,0,2,0,0.0,0.9999998999999999,0.259510401
0.0,48,0,3761.0,4,0,0,0,1.0,0.0,0.259968102
0.0,44,1,9436.0,12,0,0,0,4.0,0.577035843,0.128218714
0.0,48,0,5450.0,16,0,2,0,1.0,0.078785118,0.33938726799999996
0.0,82,0,3500.0,3,0,0,0,0.0,0.05852674099999999,0.107683519
0.0,55,1,5833.0,4,0,0,1,0.0,0.810021588,0.13541309599999998
0.0,33,0,4591.0,4,0,1,0,3.0,0.469506099,0.306620209
0.0,69,0,12000.0,3,0,0,0,1.0,0.038149046,0.004749604
0.0,60,0,6640.0,3,0,1,0,0.0,0.016570836999999998,0.246800181
0.0,69,0,8354.0,3,0,0,0,0.0,0.100372953,0.006582885
0.0,41,0,7000.0,8,0,2,0,3.0,0.133290065,0.500928439
0.0,79,1,1713.0,9,0,2,0,0.0,0.17534778399999998,0.330221704
0.0,63,0,8334.0,12,0,2,0,0.0,0.20966509,1.692261548
0.0,61,0,2781.0,3,0,0,0,0.0,0.012430574,0.043134436
0.0,60,0,7065.0,4,0,2,0,1.0,0.0,0.160769884
0.0,43,0,11000.0,7,0,2,0,0.0,0.241076757,0.257794746
0.0,65,0,10500.0,14,0,1,0,0.0,0.065513927,0.064184363
0.0,46,0,10400.0,4,0,0,0,2.0,0.093290925,0.023170849
0.0,36,0,3308.0,6,0,0,0,1.0,0.251080575,0.16983983100000002
0.0,62,0,6000.0,6,0,2,0,0.0,0.0,0.497583736
0.0,64,0,3675.0,13,0,0,0,1.0,0.47526977,0.37078346
0.0,54,0,2210.0,3,0,0,0,0.0,0.9999998999999999,0.18272275
0.0,45,0,16667.0,7,0,1,0,4.0,0.054779597,0.173026158
0.0,72,0,5076.0,3,0,1,0,0.0,0.023189372000000003,0.278313965
0.0,68,0,3178.0,13,0,1,0,0.0,0.00867811,0.311104121
0.0,47,0,8335.0,4,0,1,0,0.0,0.09555612599999999,0.25299904
0.0,67,0,7133.0,7,0,3,0,0.0,1.0,0.464115503
0.0,49,0,10800.0,12,0,1,0,1.0,0.823424205,0.30645310600000003
0.0,52,0,6000.0,10,0,1,0,0.0,0.020098995,0.319613398
0.0,30,0,1800.0,6,0,1,0,0.0,0.154745208,0.90283176
0.0,39,1,4100.0,13,0,1,0,0.0,0.056150967,0.233601561
0.0,57,0,6166.0,3,0,0,0,1.0,0.01379908,0.00097292
0.0,52,0,15833.0,13,0,3,0,2.0,0.001679481,0.326449413
0.0,46,1,6100.0,14,0,1,0,1.0,0.059809229000000005,0.305359777
0.0,51,0,13200.0,12,0,1,0,2.0,0.245380247,0.151579426
0.0,44,0,7520.0,10,0,2,0,2.0,0.11758878699999999,0.24797234399999998
0.0,39,0,2500.0,4,0,0,0,0.0,0.9999998999999999,0.241103559
0.0,43,0,8600.0,9,0,2,0,1.0,0.263867251,0.376932915
0.0,73,0,5000.0,2,0,0,0,2.0,0.9999998999999999,0.153169366
0.0,59,0,6500.0,17,0,2,0,1.0,0.013275886,0.126903553
